ایستگاه,تاریخ,SO2 ppb
شهرداری.منطقه22,1397/10/11,4
شهرداری.منطقه22,1397/10/12,5
شهرداری.منطقه22,1397/10/13,5
شهرداری.منطقه22,1397/10/14,3
شهرداری.منطقه22,1397/10/15,5
شهرداری.منطقه22,1397/10/16,5
شهرداری.منطقه22,1397/10/17,5
شهرداری.منطقه22,1397/10/18,4
شهرداری.منطقه22,1397/10/19,5
شهرداری.منطقه22,1397/10/20,3
شهرداری.منطقه22,1397/10/21,4
شهرداری.منطقه22,1397/10/22,5
شهرداری.منطقه22,1397/10/23,6
شهرداری.منطقه22,1397/10/24,5
شهرداری.منطقه22,1397/10/25,4
شهرداری.منطقه22,1397/10/26,6
شهرداری.منطقه22,1397/10/27,3
شهرداری.منطقه22,1397/10/28,2
شهرداری.منطقه22,1397/10/29,6
شهرداری.منطقه22,1397/10/30,7
شهرداری.منطقه22,1397/11/01,9
شهرداری.منطقه22,1397/11/02,7
شهرداری.منطقه22,1397/11/03,10
شهرداری.منطقه22,1397/11/04,8
شهرداری.منطقه22,1397/11/05,5
شهرداری.منطقه22,1397/11/06,4
شهرداری.منطقه22,1397/11/07,9
شهرداری.منطقه22,1397/11/08,5
شهرداری.منطقه22,1397/11/09,3
شهرداری.منطقه22,1397/11/10,6
شهرداری.منطقه22,1397/11/11,5
شهرداری.منطقه22,1397/11/12,3
شهرداری.منطقه22,1397/11/13,4
شهرداری.منطقه22,1397/11/14,5
شهرداری.منطقه22,1397/11/15,3
شهرداری.منطقه22,1397/11/16,6
شهرداری.منطقه22,1397/11/17,7
شهرداری.منطقه22,1397/11/18,7
شهرداری.منطقه22,1397/11/19,8
شهرداری.منطقه22,1397/11/20,8
شهرداری.منطقه22,1397/11/21,3
شهرداری.منطقه22,1397/11/22,3
شهرداری.منطقه22,1397/11/23,3
شهرداری.منطقه22,1397/11/24,7
شهرداری.منطقه22,1397/11/25,14
شهرداری.منطقه22,1397/11/26,9
شهرداری.منطقه22,1397/11/27,3
شهرداری.منطقه22,1397/11/28,3
شهرداری.منطقه22,1397/11/29,5
شهرداری.منطقه22,1397/11/30,4
شهرداری.منطقه22,1397/12/01,4
شهرداری.منطقه22,1397/12/02,6
شهرداری.منطقه22,1397/12/03,5
شهرداری.منطقه22,1397/12/04,4
شهرداری.منطقه22,1397/12/05,4
شهرداری.منطقه22,1397/12/06,3
شهرداری.منطقه22,1397/12/07,9
شهرداری.منطقه22,1397/12/08,4
شهرداری.منطقه22,1397/12/09,3
شهرداری.منطقه22,1397/12/10,3
شهرداری.منطقه22,1397/12/11,5
شهرداری.منطقه22,1397/12/12,4
شهرداری.منطقه22,1397/12/13,7
شهرداری.منطقه22,1397/12/14,5
شهرداری.منطقه22,1397/12/15,8
شهرداری.منطقه22,1397/12/16,4
شهرداری.منطقه22,1397/12/17,4
شهرداری.منطقه22,1397/12/18,5
شهرداری.منطقه22,1397/12/19,11
شهرداری.منطقه22,1397/12/20,7
شهرداری.منطقه22,1397/12/21,13
شهرداری.منطقه22,1397/12/22,10
شهرداری.منطقه22,1397/12/23,7
شهرداری.منطقه22,1397/12/24,2
شهرداری.منطقه22,1397/12/25,3
شهرداری.منطقه22,1397/12/26,5
شهرداری.منطقه22,1397/12/27,
شهرداری.منطقه22,1397/12/28,4
شهرداری.منطقه22,1397/12/29,3
شهرداری.منطقه22,1398/01/01,4
شهرداری.منطقه22,1398/01/02,3
شهرداری.منطقه22,1398/01/03,6
شهرداری.منطقه22,1398/01/04,3
شهرداری.منطقه22,1398/01/05,2
شهرداری.منطقه22,1398/01/06,3
شهرداری.منطقه22,1398/01/07,
شهرداری.منطقه22,1398/01/08,
شهرداری.منطقه22,1398/01/09,
شهرداری.منطقه22,1398/01/10,2
شهرداری.منطقه22,1398/01/11,2
شهرداری.منطقه22,1398/01/12,2
شهرداری.منطقه22,1398/01/13,2
شهرداری.منطقه22,1398/01/14,2
شهرداری.منطقه22,1398/01/15,2
شهرداری.منطقه22,1398/01/16,2
شهرداری.منطقه22,1398/01/17,3
شهرداری.منطقه22,1398/01/18,2
شهرداری.منطقه22,1398/01/19,3
شهرداری.منطقه22,1398/01/20,3
شهرداری.منطقه22,1398/01/21,3
شهرداری.منطقه22,1398/01/22,3
شهرداری.منطقه22,1398/01/23,3
شهرداری.منطقه22,1398/01/24,2
شهرداری.منطقه22,1398/01/25,3
شهرداری.منطقه22,1398/01/26,4
شهرداری.منطقه22,1398/01/27,6
شهرداری.منطقه22,1398/01/28,4
شهرداری.منطقه22,1398/01/29,4
شهرداری.منطقه22,1398/01/30,2
شهرداری.منطقه22,1398/01/31,2
شهرداری.منطقه22,1398/02/01,3
شهرداری.منطقه22,1398/02/02,4
شهرداری.منطقه22,1398/02/03,4
شهرداری.منطقه22,1398/02/04,5
شهرداری.منطقه22,1398/02/05,6
شهرداری.منطقه22,1398/02/06,5
شهرداری.منطقه22,1398/02/07,3
شهرداری.منطقه22,1398/02/08,5
شهرداری.منطقه22,1398/02/09,4
شهرداری.منطقه22,1398/02/10,3
شهرداری.منطقه22,1398/02/11,5
شهرداری.منطقه22,1398/02/12,4
شهرداری.منطقه22,1398/02/13,3
شهرداری.منطقه22,1398/02/14,4
شهرداری.منطقه22,1398/02/15,4
شهرداری.منطقه22,1398/02/16,3
شهرداری.منطقه22,1398/02/17,3
شهرداری.منطقه22,1398/02/18,3
شهرداری.منطقه22,1398/02/19,3
شهرداری.منطقه22,1398/02/20,2
شهرداری.منطقه22,1398/02/21,3
شهرداری.منطقه22,1398/02/22,3
شهرداری.منطقه22,1398/02/23,2
شهرداری.منطقه22,1398/02/24,4
شهرداری.منطقه22,1398/02/25,3
شهرداری.منطقه22,1398/02/26,3
شهرداری.منطقه22,1398/02/27,3
شهرداری.منطقه22,1398/02/28,2
شهرداری.منطقه22,1398/02/29,3
شهرداری.منطقه22,1398/02/30,3
شهرداری.منطقه22,1398/02/31,4
شهرداری.منطقه22,1398/03/01,3
شهرداری.منطقه22,1398/03/02,4
شهرداری.منطقه22,1398/03/03,3
شهرداری.منطقه22,1398/03/04,4
شهرداری.منطقه22,1398/03/05,2
