ایستگاه,تاریخ,SO2 ppb
شریف.منطقه2,1398/03/27,5
شریف.منطقه2,1398/03/28,6
شریف.منطقه2,1398/03/29,7
شریف.منطقه2,1398/03/30,4
شریف.منطقه2,1398/03/31,6
شریف.منطقه2,1398/04/01,5
شریف.منطقه2,1398/04/02,6
شریف.منطقه2,1398/04/03,5
شریف.منطقه2,1398/04/04,3
شریف.منطقه2,1398/04/05,8
شریف.منطقه2,1398/04/06,5
شریف.منطقه2,1398/04/07,7
شریف.منطقه2,1398/04/08,6
شریف.منطقه2,1398/04/09,6
شریف.منطقه2,1398/04/10,7
شریف.منطقه2,1398/04/11,5
شریف.منطقه2,1398/04/12,9
شریف.منطقه2,1398/04/13,6
شریف.منطقه2,1398/04/14,8
شریف.منطقه2,1398/04/15,6
شریف.منطقه2,1398/04/16,5
شریف.منطقه2,1398/04/17,8
شریف.منطقه2,1398/04/18,7
شریف.منطقه2,1398/04/19,4
شریف.منطقه2,1398/04/20,6
شریف.منطقه2,1398/04/21,5
شریف.منطقه2,1398/04/22,5
شریف.منطقه2,1398/04/23,7
شریف.منطقه2,1398/04/24,5
شریف.منطقه2,1398/04/25,3
شریف.منطقه2,1398/04/26,3
شریف.منطقه2,1398/04/27,5
شریف.منطقه2,1398/04/28,6
شریف.منطقه2,1398/04/29,7
شریف.منطقه2,1398/04/30,6
شریف.منطقه2,1398/04/31,4
شریف.منطقه2,1398/05/01,5
شریف.منطقه2,1398/05/02,7
شریف.منطقه2,1398/05/03,8
شریف.منطقه2,1398/05/04,9
شریف.منطقه2,1398/05/05,8
شریف.منطقه2,1398/05/06,4
شریف.منطقه2,1398/05/07,6
شریف.منطقه2,1398/05/08,6
شریف.منطقه2,1398/05/09,9
شریف.منطقه2,1398/05/10,6
شریف.منطقه2,1398/05/11,4
شریف.منطقه2,1398/05/12,4
شریف.منطقه2,1398/05/13,6
شریف.منطقه2,1398/05/14,7
شریف.منطقه2,1398/05/15,5
شریف.منطقه2,1398/05/16,5
شریف.منطقه2,1398/05/17,6
شریف.منطقه2,1398/05/18,5
شریف.منطقه2,1398/05/19,5
شریف.منطقه2,1398/05/20,6
شریف.منطقه2,1398/05/21,4
شریف.منطقه2,1398/05/22,6
شریف.منطقه2,1398/05/23,5
شریف.منطقه2,1398/05/24,4
شریف.منطقه2,1398/05/25,7
شریف.منطقه2,1398/05/26,7
شریف.منطقه2,1398/05/27,8
شریف.منطقه2,1398/05/28,9
شریف.منطقه2,1398/05/29,7
شریف.منطقه2,1398/05/30,7
شریف.منطقه2,1398/05/31,6
شریف.منطقه2,1398/06/01,7
شریف.منطقه2,1398/06/02,5
شریف.منطقه2,1398/06/03,8
شریف.منطقه2,1398/06/04,8
شریف.منطقه2,1398/06/05,10
شریف.منطقه2,1398/06/06,7
شریف.منطقه2,1398/06/07,6
شریف.منطقه2,1398/06/08,6
شریف.منطقه2,1398/06/09,6
شریف.منطقه2,1398/06/10,5
شریف.منطقه2,1398/06/11,7
شریف.منطقه2,1398/06/12,6
شریف.منطقه2,1398/06/13,6
شریف.منطقه2,1398/06/14,8
شریف.منطقه2,1398/06/15,8
شریف.منطقه2,1398/06/16,8
شریف.منطقه2,1398/06/17,6
شریف.منطقه2,1398/06/18,6
شریف.منطقه2,1398/06/19,5
شریف.منطقه2,1398/06/20,5
شریف.منطقه2,1398/06/21,9
شریف.منطقه2,1398/06/22,5
شریف.منطقه2,1398/06/23,6
شریف.منطقه2,1398/06/24,6
شریف.منطقه2,1398/06/25,5
شریف.منطقه2,1398/06/26,9
شریف.منطقه2,1398/06/27,9
شریف.منطقه2,1398/06/28,10
شریف.منطقه2,1398/06/29,9
شریف.منطقه2,1398/06/30,8
شریف.منطقه2,1398/06/31,7
شریف.منطقه2,1398/07/01,9
شریف.منطقه2,1398/07/02,6
شریف.منطقه2,1398/07/03,12
شریف.منطقه2,1398/07/04,15
شریف.منطقه2,1398/07/05,12
شریف.منطقه2,1398/07/06,6
شریف.منطقه2,1398/07/07,8
شریف.منطقه2,1398/07/08,6
شریف.منطقه2,1398/07/09,10
شریف.منطقه2,1398/07/10,8
شریف.منطقه2,1398/07/11,10
شریف.منطقه2,1398/07/12,8
شریف.منطقه2,1398/07/13,4
شریف.منطقه2,1398/07/14,8
شریف.منطقه2,1398/07/15,7
شریف.منطقه2,1398/07/16,10
شریف.منطقه2,1398/07/17,9
شریف.منطقه2,1398/07/18,11
شریف.منطقه2,1398/07/19,9
شریف.منطقه2,1398/07/20,13
شریف.منطقه2,1398/07/21,7
شریف.منطقه2,1398/07/22,9
شریف.منطقه2,1398/07/23,9
شریف.منطقه2,1398/07/24,10
شریف.منطقه2,1398/07/25,8
شریف.منطقه2,1398/07/26,7
شریف.منطقه2,1398/07/27,9
شریف.منطقه2,1398/07/28,9
شریف.منطقه2,1398/07/29,7
شریف.منطقه2,1398/07/30,6
شریف.منطقه2,1398/08/01,4
شریف.منطقه2,1398/08/02,4
شریف.منطقه2,1398/08/03,3
شریف.منطقه2,1398/08/04,5
شریف.منطقه2,1398/08/05,4
شریف.منطقه2,1398/08/06,4
شریف.منطقه2,1398/08/07,6
شریف.منطقه2,1398/08/08,7
شریف.منطقه2,1398/08/09,6
شریف.منطقه2,1398/08/10,4
شریف.منطقه2,1398/08/11,8
شریف.منطقه2,1398/08/12,9
شریف.منطقه2,1398/08/13,8
شریف.منطقه2,1398/08/14,9
شریف.منطقه2,1398/08/15,12
شریف.منطقه2,1398/08/16,9
شریف.منطقه2,1398/08/17,8
شریف.منطقه2,1398/08/18,12
شریف.منطقه2,1398/08/19,11
شریف.منطقه2,1398/08/20,12
شریف.منطقه2,1398/08/21,16
شریف.منطقه2,1398/08/22,12
شریف.منطقه2,1398/08/23,15
شریف.منطقه2,1398/08/24,6
شریف.منطقه2,1398/08/25,6
شریف.منطقه2,1398/08/26,6
شریف.منطقه2,1398/08/27,8
شریف.منطقه2,1398/08/28,8
شریف.منطقه2,1398/08/29,6
شریف.منطقه2,1398/08/30,7
شریف.منطقه2,1398/09/01,7
شریف.منطقه2,1398/09/02,9
شریف.منطقه2,1398/09/03,10
شریف.منطقه2,1398/09/04,9
شریف.منطقه2,1398/09/05,6
شریف.منطقه2,1398/09/06,10
شریف.منطقه2,1398/09/07,14
شریف.منطقه2,1398/09/08,8
شریف.منطقه2,1398/09/09,10
شریف.منطقه2,1398/09/10,12
شریف.منطقه2,1398/09/11,14
شریف.منطقه2,1398/09/12,6
شریف.منطقه2,1398/09/13,8
شریف.منطقه2,1398/09/14,10
شریف.منطقه2,1398/09/15,7
شریف.منطقه2,1398/09/16,6
شریف.منطقه2,1398/09/17,5
شریف.منطقه2,1398/09/18,5
شریف.منطقه2,1398/09/19,9
شریف.منطقه2,1398/09/20,9
شریف.منطقه2,1398/09/21,9
شریف.منطقه2,1398/09/22,10
شریف.منطقه2,1398/09/23,9
شریف.منطقه2,1398/09/24,9
شریف.منطقه2,1398/09/25,9
شریف.منطقه2,1398/09/26,5
شریف.منطقه2,1398/09/27,10
شریف.منطقه2,1398/09/28,12
شریف.منطقه2,1398/09/29,11
شریف.منطقه2,1398/09/30,13
شریف.منطقه2,1398/10/01,17
شریف.منطقه2,1398/10/02,14
شریف.منطقه2,1398/10/03,18
شریف.منطقه2,1398/10/04,24
شریف.منطقه2,1398/10/05,12
شریف.منطقه2,1398/10/06,20
شریف.منطقه2,1398/10/07,5
شریف.منطقه2,1398/10/08,8
شریف.منطقه2,1398/10/09,10
شریف.منطقه2,1398/10/10,13
شریف.منطقه2,1398/10/11,9
شریف.منطقه2,1398/10/12,9
شریف.منطقه2,1398/10/13,12
شریف.منطقه2,1398/10/14,7
شریف.منطقه2,1398/10/15,5
شریف.منطقه2,1398/10/16,9
شریف.منطقه2,1398/10/17,11
شریف.منطقه2,1398/10/18,13
شریف.منطقه2,1398/10/19,6
شریف.منطقه2,1398/10/20,7
شریف.منطقه2,1398/10/21,9
شریف.منطقه2,1398/10/22,11
شریف.منطقه2,1398/10/23,21
شریف.منطقه2,1398/10/24,11
شریف.منطقه2,1398/10/25,10
شریف.منطقه2,1398/10/26,15
شریف.منطقه2,1398/10/27,7
شریف.منطقه2,1398/10/28,8
شریف.منطقه2,1398/10/29,6
شریف.منطقه2,1398/10/30,10
شریف.منطقه2,1398/11/01,13
شریف.منطقه2,1398/11/02,6
شریف.منطقه2,1398/11/03,5
شریف.منطقه2,1398/11/04,9
