ایستگاه,تاریخ,SO2 ppb
مسعودیه.منطقه15,1398/03/04,4
مسعودیه.منطقه15,1398/03/05,5
مسعودیه.منطقه15,1398/03/06,5
مسعودیه.منطقه15,1398/03/07,5
مسعودیه.منطقه15,1398/03/08,5
مسعودیه.منطقه15,1398/03/09,3
مسعودیه.منطقه15,1398/03/10,2
مسعودیه.منطقه15,1398/03/11,4
مسعودیه.منطقه15,1398/03/12,4
مسعودیه.منطقه15,1398/03/13,4
مسعودیه.منطقه15,1398/03/14,3
مسعودیه.منطقه15,1398/03/15,4
مسعودیه.منطقه15,1398/03/16,4
مسعودیه.منطقه15,1398/03/17,3
مسعودیه.منطقه15,1398/03/18,3
مسعودیه.منطقه15,1398/03/19,4
مسعودیه.منطقه15,1398/03/20,4
مسعودیه.منطقه15,1398/03/21,2
مسعودیه.منطقه15,1398/03/22,3
مسعودیه.منطقه15,1398/03/23,3
مسعودیه.منطقه15,1398/03/24,4
مسعودیه.منطقه15,1398/03/25,4
مسعودیه.منطقه15,1398/03/26,3
مسعودیه.منطقه15,1398/03/27,4
مسعودیه.منطقه15,1398/03/28,4
مسعودیه.منطقه15,1398/03/29,5
مسعودیه.منطقه15,1398/03/30,3
مسعودیه.منطقه15,1398/03/31,3
مسعودیه.منطقه15,1398/04/01,3
مسعودیه.منطقه15,1398/04/02,4
مسعودیه.منطقه15,1398/04/03,3
مسعودیه.منطقه15,1398/04/04,2
مسعودیه.منطقه15,1398/04/05,4
مسعودیه.منطقه15,1398/04/06,4
مسعودیه.منطقه15,1398/04/07,4
مسعودیه.منطقه15,1398/04/08,4
مسعودیه.منطقه15,1398/04/09,4
مسعودیه.منطقه15,1398/04/10,2
مسعودیه.منطقه15,1398/04/11,3
مسعودیه.منطقه15,1398/04/12,3
مسعودیه.منطقه15,1398/04/13,3
مسعودیه.منطقه15,1398/04/14,3
مسعودیه.منطقه15,1398/04/15,3
مسعودیه.منطقه15,1398/04/16,2
مسعودیه.منطقه15,1398/04/17,3
مسعودیه.منطقه15,1398/04/18,5
مسعودیه.منطقه15,1398/04/19,4
مسعودیه.منطقه15,1398/04/20,4
مسعودیه.منطقه15,1398/04/21,3
مسعودیه.منطقه15,1398/04/22,4
مسعودیه.منطقه15,1398/04/23,4
مسعودیه.منطقه15,1398/04/24,4
مسعودیه.منطقه15,1398/04/25,3
مسعودیه.منطقه15,1398/04/26,3
مسعودیه.منطقه15,1398/04/27,3
مسعودیه.منطقه15,1398/04/28,3
مسعودیه.منطقه15,1398/04/29,4
مسعودیه.منطقه15,1398/04/30,4
مسعودیه.منطقه15,1398/04/31,3
مسعودیه.منطقه15,1398/05/01,6
مسعودیه.منطقه15,1398/05/02,3
مسعودیه.منطقه15,1398/05/03,3
مسعودیه.منطقه15,1398/05/04,6
مسعودیه.منطقه15,1398/05/05,4
مسعودیه.منطقه15,1398/05/06,3
مسعودیه.منطقه15,1398/05/07,5
مسعودیه.منطقه15,1398/05/08,5
مسعودیه.منطقه15,1398/05/09,5
مسعودیه.منطقه15,1398/05/10,5
مسعودیه.منطقه15,1398/05/11,4
مسعودیه.منطقه15,1398/05/12,4
مسعودیه.منطقه15,1398/05/13,5
مسعودیه.منطقه15,1398/05/14,6
مسعودیه.منطقه15,1398/05/15,5
مسعودیه.منطقه15,1398/05/16,4
مسعودیه.منطقه15,1398/05/17,4
مسعودیه.منطقه15,1398/05/18,5
مسعودیه.منطقه15,1398/05/19,4
مسعودیه.منطقه15,1398/05/20,4
مسعودیه.منطقه15,1398/05/21,4
مسعودیه.منطقه15,1398/05/22,5
مسعودیه.منطقه15,1398/05/23,6
مسعودیه.منطقه15,1398/05/24,4
مسعودیه.منطقه15,1398/05/25,4
مسعودیه.منطقه15,1398/05/26,3
