ایستگاه,تاریخ,SO2 ppb
شهرداری.منطقه21,1397/10/11,10
شهرداری.منطقه21,1397/10/12,10
شهرداری.منطقه21,1397/10/13,5
شهرداری.منطقه21,1397/10/14,5
شهرداری.منطقه21,1397/10/15,10
شهرداری.منطقه21,1397/10/16,12
شهرداری.منطقه21,1397/10/17,7
شهرداری.منطقه21,1397/10/18,6
شهرداری.منطقه21,1397/10/19,7
شهرداری.منطقه21,1397/10/20,5
شهرداری.منطقه21,1397/10/21,6
شهرداری.منطقه21,1397/10/22,8
شهرداری.منطقه21,1397/10/23,13
شهرداری.منطقه21,1397/10/24,13
شهرداری.منطقه21,1397/10/25,8
شهرداری.منطقه21,1397/10/26,7
شهرداری.منطقه21,1397/10/27,4
شهرداری.منطقه21,1397/10/28,3
شهرداری.منطقه21,1397/10/29,7
شهرداری.منطقه21,1397/10/30,8
شهرداری.منطقه21,1397/11/01,11
شهرداری.منطقه21,1397/11/02,8
شهرداری.منطقه21,1397/11/03,12
شهرداری.منطقه21,1397/11/04,8
شهرداری.منطقه21,1397/11/05,7
شهرداری.منطقه21,1397/11/06,5
شهرداری.منطقه21,1397/11/07,8
شهرداری.منطقه21,1397/11/08,4
شهرداری.منطقه21,1397/11/09,4
شهرداری.منطقه21,1397/11/10,7
شهرداری.منطقه21,1397/11/11,4
شهرداری.منطقه21,1397/11/12,4
شهرداری.منطقه21,1397/11/13,6
شهرداری.منطقه21,1397/11/14,5
شهرداری.منطقه21,1397/11/15,10
شهرداری.منطقه21,1397/11/16,9
شهرداری.منطقه21,1397/11/17,7
شهرداری.منطقه21,1397/11/18,6
شهرداری.منطقه21,1397/11/19,7
شهرداری.منطقه21,1397/11/20,8
شهرداری.منطقه21,1397/11/21,4
شهرداری.منطقه21,1397/11/22,3
شهرداری.منطقه21,1397/11/23,6
شهرداری.منطقه21,1397/11/24,9
شهرداری.منطقه21,1397/11/25,13
شهرداری.منطقه21,1397/11/26,9
شهرداری.منطقه21,1397/11/27,3
شهرداری.منطقه21,1397/11/28,4
شهرداری.منطقه21,1397/11/29,4
شهرداری.منطقه21,1397/11/30,5
شهرداری.منطقه21,1397/12/01,6
شهرداری.منطقه21,1397/12/02,9
شهرداری.منطقه21,1397/12/03,6
شهرداری.منطقه21,1397/12/04,5
شهرداری.منطقه21,1397/12/05,5
شهرداری.منطقه21,1397/12/06,10
شهرداری.منطقه21,1397/12/07,14
شهرداری.منطقه21,1397/12/08,5
شهرداری.منطقه21,1397/12/09,4
شهرداری.منطقه21,1397/12/10,4
شهرداری.منطقه21,1397/12/11,6
شهرداری.منطقه21,1397/12/12,6
شهرداری.منطقه21,1397/12/13,10
شهرداری.منطقه21,1397/12/14,7
شهرداری.منطقه21,1397/12/15,10
شهرداری.منطقه21,1397/12/16,6
شهرداری.منطقه21,1397/12/17,6
شهرداری.منطقه21,1397/12/18,6
شهرداری.منطقه21,1397/12/19,12
شهرداری.منطقه21,1397/12/20,
شهرداری.منطقه21,1397/12/21,8
شهرداری.منطقه21,1397/12/22,8
شهرداری.منطقه21,1397/12/23,9
شهرداری.منطقه21,1397/12/24,4
شهرداری.منطقه21,1397/12/25,6
شهرداری.منطقه21,1397/12/26,6
شهرداری.منطقه21,1397/12/27,7
شهرداری.منطقه21,1397/12/28,9
شهرداری.منطقه21,1397/12/29,3
شهرداری.منطقه21,1398/01/01,5
شهرداری.منطقه21,1398/01/02,4
شهرداری.منطقه21,1398/01/03,
شهرداری.منطقه21,1398/01/04,5
شهرداری.منطقه21,1398/01/05,2
شهرداری.منطقه21,1398/01/06,3
شهرداری.منطقه21,1398/01/07,4
شهرداری.منطقه21,1398/01/08,3
شهرداری.منطقه21,1398/01/09,3
شهرداری.منطقه21,1398/01/10,3
شهرداری.منطقه21,1398/01/11,3
شهرداری.منطقه21,1398/01/12,3
شهرداری.منطقه21,1398/01/13,2
شهرداری.منطقه21,1398/01/14,3
شهرداری.منطقه21,1398/01/15,5
شهرداری.منطقه21,1398/01/16,5
شهرداری.منطقه21,1398/01/17,5
شهرداری.منطقه21,1398/01/18,5
شهرداری.منطقه21,1398/01/19,5
شهرداری.منطقه21,1398/01/20,5
شهرداری.منطقه21,1398/01/21,6
شهرداری.منطقه21,1398/01/22,4
شهرداری.منطقه21,1398/01/23,3
شهرداری.منطقه21,1398/01/24,5
شهرداری.منطقه21,1398/01/25,6
شهرداری.منطقه21,1398/01/26,8
شهرداری.منطقه21,1398/01/27,7
شهرداری.منطقه21,1398/01/28,5
شهرداری.منطقه21,1398/01/29,5
شهرداری.منطقه21,1398/01/30,3
شهرداری.منطقه21,1398/01/31,5
شهرداری.منطقه21,1398/02/01,5
شهرداری.منطقه21,1398/02/02,7
شهرداری.منطقه21,1398/02/03,5
شهرداری.منطقه21,1398/02/04,7
شهرداری.منطقه21,1398/02/05,6
شهرداری.منطقه21,1398/02/06,6
شهرداری.منطقه21,1398/02/07,4
شهرداری.منطقه21,1398/02/08,6
شهرداری.منطقه21,1398/02/09,5
شهرداری.منطقه21,1398/02/10,4
شهرداری.منطقه21,1398/02/11,5
شهرداری.منطقه21,1398/02/12,5
شهرداری.منطقه21,1398/02/13,4
شهرداری.منطقه21,1398/02/14,6
شهرداری.منطقه21,1398/02/15,3
شهرداری.منطقه21,1398/02/16,4
شهرداری.منطقه21,1398/02/17,7
شهرداری.منطقه21,1398/02/18,8
شهرداری.منطقه21,1398/02/19,6
شهرداری.منطقه21,1398/02/20,2
شهرداری.منطقه21,1398/02/21,4
شهرداری.منطقه21,1398/02/22,5
شهرداری.منطقه21,1398/02/23,5
شهرداری.منطقه21,1398/02/24,6
شهرداری.منطقه21,1398/02/25,5
شهرداری.منطقه21,1398/02/26,3
شهرداری.منطقه21,1398/02/27,4
شهرداری.منطقه21,1398/02/28,4
شهرداری.منطقه21,1398/02/29,5
شهرداری.منطقه21,1398/02/30,5
شهرداری.منطقه21,1398/02/31,7
شهرداری.منطقه21,1398/03/01,4
شهرداری.منطقه21,1398/03/02,7
شهرداری.منطقه21,1398/03/03,5
شهرداری.منطقه21,1398/03/04,5
شهرداری.منطقه21,1398/03/05,4
شهرداری.منطقه21,1398/03/06,4
شهرداری.منطقه21,1398/03/07,5
شهرداری.منطقه21,1398/03/08,4
شهرداری.منطقه21,1398/03/09,7
شهرداری.منطقه21,1398/03/10,4
شهرداری.منطقه21,1398/03/11,4
شهرداری.منطقه21,1398/03/12,7
شهرداری.منطقه21,1398/03/13,5
شهرداری.منطقه21,1398/03/14,5
شهرداری.منطقه21,1398/03/15,4
شهرداری.منطقه21,1398/03/16,4
شهرداری.منطقه21,1398/03/17,4
شهرداری.منطقه21,1398/03/18,4
شهرداری.منطقه21,1398/03/19,4
شهرداری.منطقه21,1398/03/20,5
شهرداری.منطقه21,1398/03/21,5
شهرداری.منطقه21,1398/03/22,5
شهرداری.منطقه21,1398/03/23,5
شهرداری.منطقه21,1398/03/24,6
شهرداری.منطقه21,1398/03/25,5
شهرداری.منطقه21,1398/03/26,5
شهرداری.منطقه21,1398/03/27,6
شهرداری.منطقه21,1398/03/28,7
شهرداری.منطقه21,1398/03/29,5
شهرداری.منطقه21,1398/03/30,4
شهرداری.منطقه21,1398/03/31,5
شهرداری.منطقه21,1398/04/01,5
شهرداری.منطقه21,1398/04/02,7
شهرداری.منطقه21,1398/04/03,8
شهرداری.منطقه21,1398/04/04,7
شهرداری.منطقه21,1398/04/05,8
شهرداری.منطقه21,1398/04/06,10
شهرداری.منطقه21,1398/04/07,12
شهرداری.منطقه21,1398/04/08,6
شهرداری.منطقه21,1398/04/09,8
شهرداری.منطقه21,1398/04/10,5
شهرداری.منطقه21,1398/04/11,7
شهرداری.منطقه21,1398/04/12,22
شهرداری.منطقه21,1398/04/13,8
شهرداری.منطقه21,1398/04/14,6
شهرداری.منطقه21,1398/04/15,6
شهرداری.منطقه21,1398/04/16,7
شهرداری.منطقه21,1398/04/17,14
شهرداری.منطقه21,1398/04/18,13
شهرداری.منطقه21,1398/04/19,6
شهرداری.منطقه21,1398/04/20,12
شهرداری.منطقه21,1398/04/21,5
