ایستگاه,تاریخ,SO2 ppb
ستاد.بحران.منطقه7,1398/02/23,3
ستاد.بحران.منطقه7,1398/02/24,3
ستاد.بحران.منطقه7,1398/02/25,3
ستاد.بحران.منطقه7,1398/02/26,3
ستاد.بحران.منطقه7,1398/02/27,4
ستاد.بحران.منطقه7,1398/02/28,4
ستاد.بحران.منطقه7,1398/02/29,5
ستاد.بحران.منطقه7,1398/02/30,3
ستاد.بحران.منطقه7,1398/02/31,4
ستاد.بحران.منطقه7,1398/03/01,5
ستاد.بحران.منطقه7,1398/03/02,3
ستاد.بحران.منطقه7,1398/03/03,4
ستاد.بحران.منطقه7,1398/03/04,3
ستاد.بحران.منطقه7,1398/03/05,3
ستاد.بحران.منطقه7,1398/03/06,3
ستاد.بحران.منطقه7,1398/03/07,3
ستاد.بحران.منطقه7,1398/03/08,4
ستاد.بحران.منطقه7,1398/03/09,2
ستاد.بحران.منطقه7,1398/03/10,3
ستاد.بحران.منطقه7,1398/03/11,3
ستاد.بحران.منطقه7,1398/03/12,3
ستاد.بحران.منطقه7,1398/03/13,3
ستاد.بحران.منطقه7,1398/03/14,4
ستاد.بحران.منطقه7,1398/03/15,3
ستاد.بحران.منطقه7,1398/03/16,3
ستاد.بحران.منطقه7,1398/03/17,3
ستاد.بحران.منطقه7,1398/03/18,3
ستاد.بحران.منطقه7,1398/03/19,3
ستاد.بحران.منطقه7,1398/03/20,4
ستاد.بحران.منطقه7,1398/03/21,4
ستاد.بحران.منطقه7,1398/03/22,4
ستاد.بحران.منطقه7,1398/03/23,3
ستاد.بحران.منطقه7,1398/03/24,3
ستاد.بحران.منطقه7,1398/03/25,3
ستاد.بحران.منطقه7,1398/03/26,4
ستاد.بحران.منطقه7,1398/03/27,4
ستاد.بحران.منطقه7,1398/03/28,4
ستاد.بحران.منطقه7,1398/03/29,4
ستاد.بحران.منطقه7,1398/03/30,3
ستاد.بحران.منطقه7,1398/03/31,3
ستاد.بحران.منطقه7,1398/04/01,4
