ایستگاه,تاریخ,SO2 ppb
پونک,1398/06/11,5
پونک,1398/06/12,3
پونک,1398/06/13,4
پونک,1398/06/14,6
پونک,1398/06/15,3
پونک,1398/06/16,3
پونک,1398/06/17,3
پونک,1398/06/18,4
پونک,1398/06/19,3
پونک,1398/06/20,3
پونک,1398/06/21,7
پونک,1398/06/22,3
پونک,1398/06/23,2
پونک,1398/06/24,3
پونک,1398/06/25,2
پونک,1398/06/26,5
پونک,1398/06/27,3
پونک,1398/06/28,4
پونک,1398/06/29,3
پونک,1398/06/30,3
پونک,1398/06/31,3
پونک,1398/07/01,4
پونک,1398/07/02,4
پونک,1398/07/03,3
پونک,1398/07/04,2
پونک,1398/07/05,3
پونک,1398/07/06,2
پونک,1398/07/07,4
پونک,1398/07/08,3
پونک,1398/07/09,4
پونک,1398/07/10,3
پونک,1398/07/11,4
پونک,1398/07/12,4
پونک,1398/07/13,3
پونک,1398/07/14,3
پونک,1398/07/15,3
پونک,1398/07/16,3
پونک,1398/07/17,3
پونک,1398/07/18,4
پونک,1398/07/19,3
پونک,1398/07/20,4
پونک,1398/07/21,3
پونک,1398/07/22,6
پونک,1398/07/23,3
پونک,1398/07/24,4
پونک,1398/07/25,4
پونک,1398/07/26,3
پونک,1398/07/27,3
پونک,1398/07/28,4
پونک,1398/07/29,3
پونک,1398/07/30,2
پونک,1398/08/01,2
پونک,1398/08/02,2
پونک,1398/08/03,2
پونک,1398/08/04,2
پونک,1398/08/05,2
پونک,1398/08/06,2
پونک,1398/08/07,2
پونک,1398/08/08,2
پونک,1398/08/09,2
پونک,1398/08/10,3
پونک,1398/08/11,3
پونک,1398/08/12,2
پونک,1398/08/13,4
پونک,1398/08/14,5
پونک,1398/08/15,7
پونک,1398/08/16,5
پونک,1398/08/17,4
پونک,1398/08/18,5
پونک,1398/08/19,4
پونک,1398/08/20,5
پونک,1398/08/21,5
پونک,1398/08/22,4
پونک,1398/08/23,6
پونک,1398/08/24,4
پونک,1398/08/25,2
پونک,1398/08/26,2
پونک,1398/08/27,4
پونک,1398/08/28,5
پونک,1398/08/29,3
پونک,1398/08/30,3
پونک,1398/09/01,4
پونک,1398/09/02,4
پونک,1398/09/03,6
پونک,1398/09/04,6
پونک,1398/09/05,5
پونک,1398/09/06,6
پونک,1398/09/07,8
پونک,1398/09/08,5
پونک,1398/09/09,4
پونک,1398/09/10,4
پونک,1398/09/11,7
پونک,1398/09/12,4
پونک,1398/09/13,2
پونک,1398/09/14,4
پونک,1398/09/15,6
پونک,1398/09/16,2
پونک,1398/09/17,2
پونک,1398/09/18,3
پونک,1398/09/19,4
پونک,1398/09/20,4
پونک,1398/09/21,4
پونک,1398/09/22,6
پونک,1398/09/23,5
پونک,1398/09/24,5
پونک,1398/09/25,5
پونک,1398/09/26,3
پونک,1398/09/27,3
پونک,1398/09/28,4
پونک,1398/09/29,4
پونک,1398/09/30,6
پونک,1398/10/01,8
پونک,1398/10/02,5
پونک,1398/10/03,10
پونک,1398/10/04,11
پونک,1398/10/05,5
پونک,1398/10/06,8
پونک,1398/10/07,2
پونک,1398/10/08,3
پونک,1398/10/09,4
پونک,1398/10/10,4
پونک,1398/10/11,3
پونک,1398/10/12,4
پونک,1398/10/13,7
پونک,1398/10/14,3
پونک,1398/10/15,3
پونک,1398/10/16,4
