course grade,vahed
17.8,3
18.6,1
18.8,4
19.4,2
18.7,3
19.4,1
18.5,3
10,3
18,2
17.3,3
20,3
16.7,4
20,3
18.3,3
19.5,2
14.9,3
17.5,3
20,2
20,2
18.4,2
18.7,3
19.2,2
18.2,3
20,3
19.7,2
17.7,1
15.5,3
19.4,3
19.5,1
17,3
18.5,2
15.6,3
19.3,3
